STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CUB,WB_WDI_NY_GDP_PCAP_KD_ZG,_T,_T,_T,PC_A,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Cuba,GDP per capita growth (annual %),Total,All age ranges or no breakdown by age,Total,Percentage change per annum,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,6.713039352319441,3.1629731716264615,1.9655920396998425,-0.2958876876862604,8.25756484504619,4.4199047403729,7.839708759902052,5.898601148149936,0.5562549413342879,-5.251606773026509,19.147281408479458,8.22203902302428,4.58488277642482,7.04820772969525,0.7571830259349781,-0.7549487807951039,-3.2623931374326958,2.7388918714523953,-0.28203791206993856,-3.848224657682451,-11.40798780564846,-12.139370530565131,-15.31183668930727,0.3006850455338821,2.0882643123745055,7.478225038278424,2.4476900063083633,-0.17467807226415744,5.828937116808802,5.563154078504965,2.8607471965775346,1.1227813269210287,3.4967618501721773,5.494101958003839,10.966685116153243,11.906923750545758,7.179252425500749,4.075427544726409,1.4247450966448696,2.3659723658808787,2.7644421019621603,3.0002817503856534,2.793146232942135,1.158528832290088,4.53753785531039,0.5971836451341517,1.9707547151640767,2.4365683745802187,0.053218663924866405,-10.7383538682124,1.747788271567586,2.3483909113422072,-1.5743835905819026,-0.6999611421594949,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SSD,WB_WDI_NY_GDP_PCAP_KD_ZG,_T,_T,_T,PC_A,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,South Sudan,GDP per capita growth (annual %),Total,All age ranges or no breakdown by age,Total,Percentage change per annum,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2017100774623657,0.055305220666326704,-9.665518591828018,-48.42872583153075,8.975512360637921,2.740639660220296,-9.769294942539346,,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MDG,WB_WDI_NY_GDP_PCAP_KD_ZG,_T,_T,_T,PC_A,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Madagascar,GDP per capita growth (annual %),Total,All age ranges or no breakdown by age,Total,Percentage change per annum,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,-0.5799060190847882,-0.3500663092506642,-3.4582620758122857,1.309705312629191,-3.0055282360215188,-0.5862515042167757,2.739107271167242,3.9489539256628348,0.8705950352378551,2.3212843119652575,0.9507003589941547,-4.140913376683557,-5.473229300686569,-1.0042399351434597,-1.745443111163027,-5.954799120939995,-0.691255504288236,-5.57446503036428,6.564170983153957,-2.05648173389217,-12.453591617440779,-4.760168130930694,-2.025328354294757,-1.16680579675797,-1.7387065668684016,-0.9239384913089026,-1.6681487188603938,0.47673657762594246,1.0914654391543053,0.12937741063889519,-9.065346049609843,-1.8184343355693215,-0.9673655078837271,-3.1002343507275896,-1.4867260037249395,-1.0801869433682612,0.37255508238106927,0.5723370456139634,1.3545720423914815,1.194501965492293,2.7659052436081737,-14.988200508686162,6.614147364382347,2.2319168510367575,1.7317720668287961,2.3472633780323946,2.653099507292268,3.625791508385362,-6.756948552062198,-2.265802527279419,-1.2654822696809163,0.20064094160323975,-0.4443418024216186,0.605710119846222,0.44574870805615774,1.3106359337680118,1.2623699429705795,0.5425190187085178,1.7301372288985846,-9.491825796218464,2.0511586990358524,1.58457442932567,1.6960181482162966,1.8130022722820343,0.562138075333138
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARG,WB_WDI_NY_GDP_PCAP_KD_ZG,_T,_T,_T,PC_A,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Argentina,GDP per capita growth (annual %),Total,All age ranges or no breakdown by age,Total,Percentage change per annum,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.697198142470782,-2.4812119556224417,-6.851643196213217,8.371062335271603,8.853455746052362,-2.169542718170433,1.6297229915498264,3.2308508081787295,8.008685389568868,1.450585235702448,4.007823331574684,0.032008914751216366,1.1629035760346085,3.8122522471634426,-1.6232061862168479,-3.5399533480205463,5.25406554729264,-6.020787796128502,8.476652165358729,-0.08563970283850608,-6.696558857214811,-2.3153597537838664,2.690838015506557,-0.03382092168259021,-6.668386606260583,4.515050970923625,1.130142950144105,-2.611124782713219,-8.567869390271582,-3.911192292897141,7.575135073059187,6.453323571139109,6.752114947634169,4.427311622169626,-4.1099359865949765,4.208050172844935,6.805821142934249,2.6365406698450613,-4.493066551708409,-1.9068413922286709,-5.452639033040143,-11.842313817700756,7.718390380060882,7.929517130165323,7.73898107569444,6.941851600890246,7.932610112691634,3.00856892610517,-6.910312115305601,8.968196728992822,4.881272528041492,-2.0383253093713023,1.393512660566813,-3.513264210420033,1.6609125384392343,-3.024500955787616,1.9163960814885286,-3.4155368386781646,-2.695067235335742,-10.336109687851774,10.148559987734899,5.797479801693669,-2.137034735401244,-1.6835270052874591,4.014022369883108
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHN,WB_WDI_NY_GDP_PCAP_KD_ZG,_T,_T,_T,PC_A,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,China,GDP per capita growth (annual %),Total,All age ranges or no breakdown by age,Total,Percentage change per annum,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,-26.52764360636914,-6.351504864332412,7.622254460935579,15.468995418925019,14.197889011518043,7.6084039282950044,-8.16149758528853,-6.571451614306781,13.779340343518214,16.05039929290659,4.159176201309677,1.2901059710043796,5.32729301395436,0.21800566735092275,6.816440506256654,-3.0813219848982527,6.114001676060951,9.847120096435177,6.169094715559126,6.497294069654117,3.7769789108621126,7.43053410407046,9.182749382479315,13.690606974756676,11.894395885372262,7.335309860616633,9.879036233828458,9.444514841647234,2.6223585903087923,2.408793735058751,7.893409028814773,12.905412288049916,12.623885828096931,11.811778879951333,9.81575006667488,8.826631914146759,8.184693057322505,6.8929171395732,6.812386306677581,7.721422359033909,7.540052887970134,8.506613983112416,9.430087519397674,9.488207831194245,10.79995080649745,12.047887563832788,13.556147814696402,9.108284773286712,8.86328559816117,10.058864807030176,8.865520166201819,7.128647474083309,7.062932065540409,6.785782565584128,6.361376312928769,6.16357090866066,6.246239155635337,6.259695388380692,5.691780295526712,2.096183722043989,8.473525923849394,3.1473652895019626,5.525476195409325,5.08754856303446,5.138291641396748
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IND,WB_WDI_NY_GDP_PCAP_KD_ZG,_T,_T,_T,PC_A,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,India,GDP per capita growth (annual %),Total,All age ranges or no breakdown by age,Total,Percentage change per annum,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,1.266648793299737,0.5185019270792708,3.5364910522906854,4.966118870257134,-4.803103498821656,-2.1710436854966275,5.535822686783959,1.1903852112334476,4.311912692334545,2.8486426172023442,-0.5848360896559797,-2.712391588517704,0.9969574182651115,-1.1154609714980666,6.602321026854824,-0.7007355794591774,4.75429678592927,3.306071277214002,-7.416424710848219,4.220470709082576,3.544378324881876,1.0886068032884566,4.806751119684449,1.4135191675274257,2.833253527944322,2.3857432330469948,1.6209507625229094,7.188122382758337,3.6060240771130054,3.223516344900503,-1.1102810549285351,3.259395441340658,2.5740895192208626,4.500575212064817,5.430702805214381,5.4222614102929185,2.0237448892742833,4.148494856436798,6.795041926394347,1.9076300584349468,2.881346581130913,1.940705485230481,6.005799642698477,6.099965225563238,6.177028924701048,6.3836772099083845,6.051600135532368,1.6141345173057715,6.313409858109466,6.930797803604463,3.7607415323124087,4.017267358345308,4.97769997299568,6.063980741707354,6.715667346367809,6.97394690926852,5.561185034649597,5.292119719122752,2.796757599660566,-6.690471028342444,8.79093447675136,6.762386017283177,6.267417915974221,6.1495744612828815,6.6165688365585
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,XKX,WB_WDI_NY_GDP_PCAP_KD_ZG,_T,_T,_T,PC_A,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Kosovo,GDP per capita growth (annual %),Total,All age ranges or no breakdown by age,Total,Percentage change per annum,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.396367016739333,5.288314826753165,6.12959202990389,0.8579743949037208,4.703870840537377,3.652730272738026,7.368151119943917,6.207616502414865,4.0383887986432825,3.0575293127826058,5.236696763122978,-5.406901842684192,10.998140049109665,5.339097617379167,9.351075229094263,10.36564943000731,4.740315211007243
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SAU,WB_WDI_NY_GDP_PCAP_KD_ZG,_T,_T,_T,PC_A,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Saudi Arabia,GDP per capita growth (annual %),Total,All age ranges or no breakdown by age,Total,Percentage change per annum,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,7.84948336340932,7.884465787695461,4.761675588894903,4.820880168633494,8.047491443240574,4.226835238522568,4.861210691555627,3.545232337452944,1.8671711176970263,46.366027329873134,10.230080536471291,13.259330742445812,16.510407664509728,10.264982064408002,-10.314164071608786,9.192784454561746,0.16011579269815002,-5.390140133108275,4.703459701868468,-0.22521105502546845,-2.9928535429913268,-21.074515872039953,-16.251349976250324,-9.549157039571298,-12.38486385191311,-4.574042515066068,-8.454290654560637,1.0764480818844788,-4.534276014020961,4.157769444569254,3.178048101630111,-0.1258267309990373,-3.9685763136362056,-3.276577891683246,-3.758393360067984,-0.7417870994351716,-1.2367563168652964,-0.9663172395610786,-4.164962817698054,0.15049254358936537,-4.740970888078152,-5.509626786222839,3.6978316821685127,3.7559400924814383,1.3566229042051106,-1.0159081045281084,-1.9408607536137623,2.042988191132906,-4.865016112106218,6.087203608475193,6.799841915735968,1.4088975469781673,-2.477204660862114,1.5065962283723024,-0.6348103344719362,-2.0343952058834134,1.106468772261593,5.897077302069874,2.0995368308579287,-8.343472907023198,9.177456927108054,7.159129057327448,-4.014293877900229,-1.9965479523160496,-0.2268974017233205
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LCA,WB_WDI_NY_GDP_PCAP_KD_ZG,_T,_T,_T,PC_A,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,St. Lucia,GDP per capita growth (annual %),Total,All age ranges or no breakdown by age,Total,Percentage change per annum,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,8.693935794666345,2.296708842385442,-3.6648019761579604,4.664263068580482,0.4930961654601447,3.3226241848342255,5.557826907834325,6.533818365778998,12.588867698432267,2.372991830939114,12.403781579263807,7.773936130271906,8.818554341760915,-0.8207436433350495,6.354555415586944,-0.8927333943744742,0.09153922717615615,0.15686515876566887,1.398275120274576,-2.0824817757921608,4.8379566892261465,1.3438305785079763,-1.1585275392538819,-4.385213610962424,-0.45575826891837323,3.4105393765459127,6.442521130721076,-1.1392447140597142,5.437534543917494,1.0133026598391695,4.296528304686916,-3.435829226936576,-0.2787501878072334,3.78344996295867,-0.5636833308859934,-2.261633279074317,0.8806215389063112,-0.3370528675722255,2.991539673919803,2.9717988223679583,2.4944518676028196,-1.3881246679481904,-23.155277382825474,10.977353796833228,19.1727834727551,3.6156460407675155,4.50136097495573,-0.797598585137095
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,DJI,WB_WDI_NY_GDP_PCAP_KD_ZG,_T,_T,_T,PC_A,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Djibouti,GDP per capita growth (annual %),Total,All age ranges or no breakdown by age,Total,Percentage change per annum,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.280180259839341,5.458368312936273,5.333315297459308,3.7397153098045948,3.1086154014099634,3.913784409282556,-0.3068676028246671,2.911698992556282,3.700803898862233,5.339195774906528,5.5362249709977505,5.1145266284548825
